"","original_cluster","new_cluster"
"1",1,"Neutrophils"
"2",2,"unknown"
"3",3,"cDC1"
"4",4,"unknown"
"5",5,"homeostatic Microglia"
"6",6,"debris"
"7",7,"Border-associated Macrophages"
"8",8,"homeostatic Microglia"
"9",9,"CD11c.hi Microglia"
"10",10,"cDC2"
"11",11,"activated Microglia"
"12",12,"Monocytes"
