"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"CAIX","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,28,0.132,0.2145,"ns",12.26128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CAIX","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,9,0.18,0.39,"ns",14.38284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CD70","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,2,0.009,0.0468,"*",2.67248,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CD70","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,14,0.589,0.7657,"ns",4.79404,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CD70","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,26,0.24,0.312,"ns",6.9156,5,7,"CD19 CAR_EGFRvIII CAR"
"CD70","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,15,0.699,0.699,"ns",9.03716,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD70","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,25,0.31,0.732727272727273,"ns",11.15872,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD70","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,29,0.093,0.2015,"ns",13.28028,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CD70","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,16,0.818,1,"ns",15.40184,4,8,"aCD47_EGFRvIII CAR + aCD47"
"PGF","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,23,0.485,0.6305,"ns",3.74248,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"PGF","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,23,0.485,0.7657,"ns",5.86404,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"PGF","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,36,0.002,0.00742857142857143,"**",7.9856,5,7,"CD19 CAR_EGFRvIII CAR"
"PGF","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,25,0.31,0.42421052631579,"ns",10.10716,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"PGF","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,25,0.31,0.732727272727273,"ns",12.22872,5,6,"CD19 CAR_CD19-SGRP CAR"
"PGF","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,17,0.937,0.97448,"ns",14.35028,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"PGF","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,30,0.065,0.21125,"ns",16.47184,4,8,"aCD47_EGFRvIII CAR + aCD47"
"IL5","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,17,0.937,0.97448,"ns",1.69748,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IL5","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,14,0.589,0.7657,"ns",3.81904,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IL5","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,5,0.041,0.082,"ns",5.9406,5,7,"CD19 CAR_EGFRvIII CAR"
"IL5","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.465636363636364,"ns",8.06216,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IL5","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,6,0.065,0.281666666666667,"ns",10.18372,5,6,"CD19 CAR_CD19-SGRP CAR"
"IL5","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,15,0.699,0.826090909090909,"ns",12.30528,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IL5","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,18,1,1,"ns",14.42684,4,8,"aCD47_EGFRvIII CAR + aCD47"
"TNF","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,28,0.132,0.246315789473684,"ns",2.23648,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"TNF","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.7657,"ns",4.35804,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"TNF","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,17,0.937,0.97448,"ns",6.4796,5,7,"CD19 CAR_EGFRvIII CAR"
"TNF","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,6,0.065,0.140833333333333,"ns",8.60116,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"TNF","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,31,0.041,0.2132,"ns",10.72272,5,6,"CD19 CAR_CD19-SGRP CAR"
"TNF","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,8,0.132,0.2145,"ns",12.84428,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"TNF","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,20,0.818,1,"ns",14.96584,4,8,"aCD47_EGFRvIII CAR + aCD47"
"ADA","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,27,0.18,0.246315789473684,"ns",0.67048,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"ADA","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,18,1,1,"ns",2.79204,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"ADA","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,15,0.699,0.75725,"ns",4.9136,5,7,"CD19 CAR_EGFRvIII CAR"
"ADA","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,10,0.24,0.346666666666667,"ns",7.03516,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"ADA","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,22,0.589,0.900823529411765,"ns",9.15672,5,6,"CD19 CAR_CD19-SGRP CAR"
"ADA","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,9,0.18,0.246315789473684,"ns",11.27828,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"ADA","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,18,1,1,"ns",13.39984,4,8,"aCD47_EGFRvIII CAR + aCD47"
